2026-04-01 12:51:29,290 | INFO | scheduler | Scheduled job 69cbfbf739ff90a5878f with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='24']
2026-04-01 12:51:29,292 | WARNING | scheduler | Invalid timezone '2026-03-31T16:58:51.429+00:00', falling back to Asia/Kolkata
2026-04-01 12:51:29,292 | INFO | scheduler | Scheduled job 69cbfd4b689941fc2f7c with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='29']
2026-04-01 12:51:29,294 | WARNING | scheduler | Invalid timezone '2026-03-31T17:08:46.472+00:00', falling back to Asia/Kolkata
2026-04-01 12:51:29,295 | INFO | scheduler | Scheduled job 69cbff9e7325b7dccb21 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='40']
2026-04-01 13:00:46,179 | INFO | scheduler | Scheduler stopped
2026-04-01 13:59:37,432 | INFO | scheduler | Scheduler started
2026-04-01 13:59:39,485 | WARNING | scheduler | Invalid timezone '2026-03-31T13:59:31.989+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,491 | INFO | scheduler | Scheduled job 69cbd343f1650132d9a3 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='30']
2026-04-01 13:59:39,495 | WARNING | scheduler | Invalid timezone '2026-03-31T14:03:43.546+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,498 | INFO | scheduler | Scheduled job 69cbd43f851750f4eda9 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='35']
2026-04-01 13:59:39,500 | WARNING | scheduler | Invalid timezone '2026-03-31T16:31:13.920+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,503 | INFO | scheduler | Scheduled job 69cbf6d1e0a0229fc178 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='2']
2026-04-01 13:59:39,507 | WARNING | scheduler | Invalid timezone '2026-03-31T16:45:42.077+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,509 | INFO | scheduler | Scheduled job 69cbfa3612a6242633e4 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='17']
2026-04-01 13:59:39,513 | WARNING | scheduler | Invalid timezone '2026-03-31T16:47:15.121+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,516 | INFO | scheduler | Scheduled job 69cbfa931d7f86f81dce with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='19']
2026-04-01 13:59:39,518 | WARNING | scheduler | Invalid timezone '2026-03-31T16:53:11.238+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,520 | INFO | scheduler | Scheduled job 69cbfbf739ff90a5878f with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='24']
2026-04-01 13:59:39,523 | WARNING | scheduler | Invalid timezone '2026-03-31T16:58:51.429+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,523 | INFO | scheduler | Scheduled job 69cbfd4b689941fc2f7c with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='29']
2026-04-01 13:59:39,525 | WARNING | scheduler | Invalid timezone '2026-03-31T17:08:46.472+00:00', falling back to Asia/Kolkata
2026-04-01 13:59:39,526 | INFO | scheduler | Scheduled job 69cbff9e7325b7dccb21 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='40']
2026-04-01 14:05:09,103 | INFO | scheduler | Scheduler stopped
2026-04-01 18:18:22,140 | INFO | scheduler | Scheduler started
2026-04-01 18:18:22,557 | WARNING | scheduler | Invalid timezone '2026-03-31T13:59:31.989+00:00', falling back to Asia/Kolkata
2026-04-01 18:18:22,561 | INFO | scheduler | Scheduled job 69cbd343f1650132d9a3 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='30']
2026-04-01 18:18:22,564 | WARNING | scheduler | Invalid timezone '2026-03-31T14:03:43.546+00:00', falling back to Asia/Kolkata
2026-04-01 18:18:22,565 | INFO | scheduler | Scheduled job 69cbd43f851750f4eda9 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='35']
2026-04-01 18:18:22,568 | WARNING | scheduler | Invalid timezone '2026-03-31T16:31:13.920+00:00', falling back to Asia/Kolkata
2026-04-01 18:18:22,569 | INFO | scheduler | Scheduled job 69cbf6d1e0a0229fc178 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='2']
2026-04-01 18:18:22,571 | WARNING | scheduler | Invalid timezone '2026-03-31T16:45:42.077+00:00', falling back to Asia/Kolkata
2026-04-01 18:18:22,572 | INFO | scheduler | Scheduled job 69cbfa3612a6242633e4 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='17']
2026-04-01 18:18:22,573 | WARNING | scheduler | Invalid timezone '2026-03-31T16:47:15.121+00:00', falling back to Asia/Kolkata
2026-04-01 18:18:22,573 | INFO | scheduler | Scheduled job 69cbfa931d7f86f81dce with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='19']
